districts,y05temp,y05mtemp,y05rain,y05area,y05yield,y06temp,y06mtemp,y06rain,y06area,y06yield,y07temp,y07mtemp,y07rain,y07area,y07yield,y08temp,y08mtemp,y08rain,y08area,y08yield,y09temp,y09mtemp,y09rain,y09area,y09yield,y10temp,y10mtemp,y10rain,y10area,y10yield,y11temp,y11mtemp,y11rain,y11area,y11yield,y12temp,y12mtemp,y12rain,y12area,y12yield,y13temp,y13mtemp,y13rain,y13area,y13yield,y14temp,y14mtemp,y14rain,y14area,y14yield
16,19.58,29.6,2314.8,19166,34271,20.07,30.06,1777.4,23283,37209,19.69,29.84,2414.6,25155,46175,19.6,29.64,2271.2,29465,52296,19.94,30.3,1863,27807,56151,20.15,30.13,2498.7,29333,70609,19.58,29.82,1758.3,29761,65019,19.54,29.81,2321.3,29588,68668,19.83,29.81,1682.6,29228,69552,19.77,29.72,2171.9,29210,64756
17,19.58,29.6,2314.8,127208,185275,20.07,30.06,1777.4,124173,179458,19.69,29.84,2414.6,122706,190463,19.6,29.64,2271.2,125897,189298,19.94,30.3,1863,124513,250017,20.15,30.13,2498.7,126100,237248,19.58,29.82,1758.3,121565,174402,19.54,29.81,2321.3,128421,199171,19.83,29.81,1682.6,130200,219917,19.77,29.72,2171.9,127996,218189
18,19.58,29.6,2314.8,75350,120498,20.07,30.06,1777.4,74126,143435,19.69,29.84,2414.6,76431,118750,19.6,29.64,2271.2,76311,180718,19.94,30.3,1863,75665,176365,20.15,30.13,2498.7,73574,150587,19.58,29.82,1758.3,74435,199742,19.54,29.81,2321.3,78645,153301,19.83,29.81,1682.6,77499,153970,19.77,29.72,2171.9,77402,143230
19,19.58,29.6,2314.8,109808,130563,20.07,30.06,1777.4,98207,112686,19.69,29.84,2414.6,108479,131035,19.6,29.64,2271.2,93805,112131,19.94,30.3,1863,103016,158273,20.15,30.13,2498.7,109423,192738,19.58,29.82,1758.3,106067,185448,19.54,29.81,2321.3,109450,181125,19.83,29.81,1682.6,109489,223102,19.77,29.72,2171.9,108382,212989
20,19.58,29.6,2314.8,121399,126269,20.07,30.06,1777.4,121815,84095,19.69,29.84,2414.6,121644,91760,19.6,29.64,2271.2,123588,74626,19.94,30.3,1863,135774,177271,20.15,30.13,2498.7,140562,246414,19.58,29.82,1758.3,150564,260526,19.54,29.81,2321.3,145301,311093,19.83,29.81,1682.6,141100,260565,19.77,29.72,2171.9,124166,260743
21,19.58,29.6,2314.8,58500,89200,20.07,30.06,1777.4,74181,92710,19.69,29.84,2414.6,84027,114692,19.6,29.64,2271.2,76726,140362,19.94,30.3,1863,78395,153250,20.15,30.13,2498.7,90001,191079,19.58,29.82,1758.3,89997,205997,19.54,29.81,2321.3,81204,195093,19.83,29.81,1682.6,90115,248499,19.77,29.72,2171.9,89922,214226
22,19.58,29.6,2314.8,213682,338746,20.07,30.06,1777.4,169298,271673,19.69,29.84,2414.6,192612,316760,19.6,29.64,2271.2,195199,313826,19.94,30.3,1863,181859,380893,20.15,30.13,2498.7,184147,352779,19.58,29.82,1758.3,192092,324203,19.54,29.81,2321.3,178355,369528,19.83,29.81,1682.6,196651,436123,19.77,29.72,2171.9,201733,410571
23,19.58,29.6,2314.8,81256,104967,20.07,30.06,1777.4,81567,108034,19.69,29.84,2414.6,80500,130048,19.6,29.64,2271.2,80350,138973,19.94,30.3,1863,76679,131374,20.15,30.13,2498.7,76092,166991,19.58,29.82,1758.3,79725,140956,19.54,29.81,2321.3,81062,169112,19.83,29.81,1682.6,77930,153374,19.77,29.72,2171.9,76375,184445
24,19.58,29.6,2314.8,101291,185547,20.07,30.06,1777.4,97173,145336,19.69,29.84,2414.6,93494,158252,19.6,29.64,2271.2,106410,259636,19.94,30.3,1863,101637,238707,20.15,30.13,2498.7,93178,222519,19.58,29.82,1758.3,97094,214215,19.54,29.81,2321.3,95836,237046,19.83,29.81,1682.6,96532,207244,19.77,29.72,2171.9,97859,206090
25,19.58,29.6,2314.8,169266,236669,20.07,30.06,1777.4,127270,129563,19.69,29.84,2414.6,167078,220042,19.6,29.64,2271.2,173384,252950,19.94,30.3,1863,156238,241466,20.15,30.13,2498.7,168275,359567,19.58,29.82,1758.3,172915,309727,19.54,29.81,2321.3,162954,349919,19.83,29.81,1682.6,166054,340728,19.77,29.72,2171.9,173087,380946
26,19.58,29.6,2314.8,59284,79908,20.07,30.06,1777.4,60437,75723,19.69,29.84,2414.6,62873,86936,19.6,29.64,2271.2,65730,92736,19.94,30.3,1863,66473,95041,20.15,30.13,2498.7,64630,128576,19.58,29.82,1758.3,64642,118024,19.54,29.81,2321.3,59059,95651,19.83,29.81,1682.6,62321,105835,19.77,29.72,2171.9,63513,105543
27,19.58,29.6,2314.8,77741,88443,20.07,30.06,1777.4,79552,64196,19.69,29.84,2414.6,72964,91186,19.6,29.64,2271.2,88265,110930,19.94,30.3,1863,88908,97370,20.15,30.13,2498.7,94814,122194,19.58,29.82,1758.3,95639,134110,19.54,29.81,2321.3,93017,161003,19.83,29.81,1682.6,90619,130856,19.77,29.72,2171.9,94657,165220
