Assam,BONGAIGAON,1997,Summer     ,Rice,6366,5462,,
Assam,BONGAIGAON,1997,Winter     ,Rice,56841,38596,,
Assam,BONGAIGAON,1998,Autumn     ,Rice,33335,28062,,
Assam,BONGAIGAON,1998,Summer     ,Rice,6795,9580,,
Assam,BONGAIGAON,1998,Winter     ,Rice,56133,54267,,
Assam,BONGAIGAON,1999,Autumn     ,Rice,32940,23441,,
Assam,BONGAIGAON,1999,Summer     ,Rice,8414,12119,,
Assam,BONGAIGAON,1999,Winter     ,Rice,57620,62814,,
Assam,BONGAIGAON,2000,Autumn     ,Rice,33157,30980,,
Assam,BONGAIGAON,2000,Summer     ,Rice,9931,14064,,
Assam,BONGAIGAON,2000,Winter     ,Rice,57625,58910,,
Assam,BONGAIGAON,2001,Autumn     ,Rice,33306,30266,,
Assam,BONGAIGAON,2001,Summer     ,Rice,9967,16462,,
Assam,BONGAIGAON,2001,Winter     ,Rice,57795,66814,,
Assam,BONGAIGAON,2002,Autumn     ,Rice,33750,29871,,
Assam,BONGAIGAON,2002,Summer     ,Rice,9527,14838,,
Assam,BONGAIGAON,2002,Winter     ,Rice,59640,78756,,
Assam,BONGAIGAON,2003,Autumn     ,Rice,34213,32358,,
Assam,BONGAIGAON,2003,Summer     ,Rice,9569,12546,,
Assam,BONGAIGAON,2003,Winter     ,Rice,58844,74327,,
Assam,BONGAIGAON,2004,Autumn     ,Rice,34147,23886,,
Assam,BONGAIGAON,2004,Summer     ,Rice,9997,13155,,
Assam,BONGAIGAON,2004,Winter     ,Rice,58690,72659,,
Assam,BONGAIGAON,2005,Autumn     ,Rice,29128,27125,,
Assam,BONGAIGAON,2005,Summer     ,Rice,7814,14947,,
Assam,BONGAIGAON,2005,Winter     ,Rice,39572,45530,,
Assam,BONGAIGAON,2006,Autumn     ,Rice,23189,16774,,
Assam,BONGAIGAON,2006,Summer     ,Rice,7818,12188,,
Assam,BONGAIGAON,2006,Winter     ,Rice,32545,31246,,
Assam,BONGAIGAON,2007,Autumn     ,Rice,22507,16954,,
Assam,BONGAIGAON,2007,Summer     ,Rice,8132,19327,,
Assam,BONGAIGAON,2007,Winter     ,Rice,35410,33297,,
Assam,BONGAIGAON,2008,Autumn     ,Rice,22147,20617,,
Assam,BONGAIGAON,2008,Summer     ,Rice,9947,20907,,
